年龄,工作情况,教育,教育时间,婚姻状况,职业类型,家庭角色,民族,性别,投资收入,投资损失,工作天数,省份,Y
35,个体,初三,5,已婚平民配偶,其他职业,丈夫,民族D,男,0,0,40,省份22,0
37,中央部委,高中生,9,已婚平民配偶,保安,丈夫,民族D,男,0,0,40,省份8,0
19,个体,初三,5,未婚,手工艺维修,孩子,民族D,男,0,0,20,省份8,0
33,个体,大学生,13,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,60,省份8,1
22,个体,大学未毕业,10,未婚,手工艺维修,离家,民族D,男,0,0,40,省份8,0
48,个体,高二,7,已婚平民配偶,农业捕捞,丈夫,民族D,男,0,0,50,省份8,0
28,非有限责任公司,高中生,9,已婚平民配偶,销售,丈夫,民族D,男,0,0,50,省份8,1
34,个体,大学未毕业,10,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,48,省份8,1
50,个体,大学生,13,已婚平民配偶,销售,丈夫,民族D,男,0,0,40,省份8,0
50,个体,大学未毕业,10,已婚平民配偶,其他职业,丈夫,民族D,男,0,0,33,省份8,0
24,个体,大学生,13,未婚,执行主管,离家,民族D,女,0,0,40,省份8,0
46,个体,大学未毕业,10,离婚,其他职业,未婚,民族D,女,0,0,10,省份31,0
45,非有限责任公司,高中生,9,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,60,省份8,0
28,非有限责任公司,研究生,14,未婚,专业技术,孩子,民族D,男,0,0,40,省份8,0
22,个体,大学未毕业,10,未婚,机械操作,孩子,民族D,女,0,0,30,省份8,0
64,中央部委,大学生,13,离婚,技术支持,离家,民族D,男,0,0,40,省份8,0
61,个体,大学生,13,未婚,专业技术,孩子,民族D,男,0,0,40,省份8,0
45,个体,高中生,9,已婚平民配偶,机械操作,丈夫,民族A,男,3137,0,35,省份8,0
20,非有限责任公司,大学未毕业,10,未婚,专业技术,其他关系,民族B,女,0,0,20,省份20,0
49,有限责任公司,大学未毕业,10,离婚,执行主管,未婚,民族D,女,0,0,32,省份8,0
26,个体,大学未毕业,10,未婚,销售,未婚,民族D,男,0,0,55,省份8,0
47,非有限责任公司,大学生,13,已婚平民配偶,专业技术,丈夫,民族D,男,0,2002,30,省份8,0
22,个体,高中生,9,已婚配偶异地,销售,离家,民族D,男,0,1719,40,省份8,0
42,个体,大学未毕业,10,离婚,执行主管,离家,民族D,男,0,1408,40,省份8,0
73,非有限责任公司,初中一、二年级,4,已婚平民配偶,农业捕捞,丈夫,民族D,男,0,0,40,省份8,0
26,省政府,高中生,9,未婚,管理文书,离家,民族B,男,0,0,40,省份8,0
22,个体,大学未毕业,10,未婚,劳工保洁,孩子,民族D,男,0,0,35,省份8,0
45,个体,高中生,9,已婚平民配偶,劳工保洁,丈夫,民族D,男,0,0,48,省份8,1
43,地方政府,准职业学位,11,离婚,管理文书,离家,民族A,女,0,0,40,省份8,0
43,个体,大学生,13,已婚平民配偶,执行主管,丈夫,民族D,男,0,0,47,省份8,1
29,未知,高二,7,未婚,未知,孩子,民族A,男,0,0,40,省份8,0
22,个体,准职业学位,11,未婚,管理文书,孩子,民族D,女,0,0,37,省份8,0
52,省政府,职高,15,已婚平民配偶,专业技术,丈夫,民族D,男,0,0,60,省份8,1
51,中央部委,高中生,9,已婚平民配偶,专业技术,丈夫,民族A,男,0,0,60,省份8,1
20,个体,大学未毕业,10,未婚,运输,其他关系,民族D,男,0,0,40,省份8,0
41,个体,大学未毕业,10,未婚,手工艺维修,未婚,民族D,男,0,3004,60,省份31,1
39,地方政府,大学专科,12,已婚平民配偶,管理文书,丈夫,民族B,男,0,0,50,省份8,0
55,个体,高中生,9,离婚,机械操作,离家,民族D,女,0,0,40,省份8,0
38,个体,大学未毕业,10,未婚,管理文书,离家,民族D,男,0,0,48,省份8,0
34,有限责任公司,大学未毕业,10,已婚平民配偶,销售,丈夫,民族D,男,0,0,60,省份8,1
23,个体,高三,8,已婚平民配偶,手工艺维修,丈夫,民族A,男,0,0,30,省份39,0
28,个体,大学未毕业,10,未婚,管理文书,离家,民族D,女,0,0,40,省份8,0
37,个体,大学生,13,未婚,管理文书,孩子,民族D,女,0,0,40,省份8,0
20,个体,高中生,9,未婚,手工艺维修,离家,民族D,男,0,0,40,省份8,0
90,个体,大学未毕业,10,未婚,其他职业,孩子,民族D,男,0,0,10,省份8,0
35,个体,高二,7,未婚,机械操作,离家,民族D,男,0,0,50,省份8,0
45,个体,高中生,9,已婚平民配偶,劳工保洁,丈夫,民族D,男,0,0,40,省份8,0
75,非有限责任公司,博士,16,已婚平民配偶,专业技术,丈夫,民族D,男,4931,0,3,省份8,0
21,个体,大学未毕业,10,已婚平民配偶,管理文书,其他关系,民族D,女,0,0,40,省份8,0
42,个体,大学生,13,已婚平民配偶,执行主管,妻子,民族A,女,0,0,50,省份8,1
29,个体,大学未毕业,10,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,42,省份8,0
19,个体,大学未毕业,10,未婚,其他职业,孩子,民族D,女,0,0,20,省份8,0
56,个体,高三,8,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,40,省份35,0
19,未知,大学未毕业,10,未婚,未知,孩子,民族D,男,0,0,45,省份8,0
18,个体,高中生,9,未婚,其他职业,离家,民族D,女,0,0,35,省份8,0
23,个体,准职业学位,11,未婚,管理文书,离家,民族D,女,0,0,40,省份8,0
28,个体,高中生,9,未婚,其他职业,离家,民族D,女,0,0,30,省份8,0
35,个体,高中生,9,未婚,机械操作,孩子,民族D,男,0,0,40,省份8,0
37,个体,大学未毕业,10,离婚,其他职业,未婚,民族A,女,0,0,40,省份8,0
61,个体,高中生,9,离婚,销售,离家,民族D,男,0,0,40,省份8,0
29,个体,大学生,13,未婚,专业技术,离家,民族D,男,0,0,40,省份8,0
26,中央部委,大学专科,12,未婚,管理文书,未婚,民族A,女,0,0,40,省份8,0
37,个体,高中生,9,已婚平民配偶,手工艺维修,丈夫,民族D,男,0,0,50,省份8,1
56,个体,大学生,13,未婚,专业技术,离家,民族D,女,2907,0,52,省份2,0
20,未知,大学未毕业,10,未婚,未知,孩子,民族D,女,0,0,40,省份8,0
30,个体,大学专科,12,未婚,技术支持,离家,民族D,女,0,0,40,省份8,0
