,0,1,2,3,4,5,6,7,8,9
2013-02-28,贵州茅台,广汇能源,宝钢股份,中国石油,紫金矿业,大秦铁路,山东黄金,工商银行,中国联通,中金黄金
2010-12-31,工商银行,贵州茅台,中国银行,中国铁建,建设银行,农业银行,国电电力,中国中车,大秦铁路,民生银行
2017-08-31,工商银行,农业银行,同方股份,中国重工,中国神华,*ST信威(退市),中国石化,上汽集团,光大银行,中国银行
2018-05-31,山东黄金,万华化学,ST康美,中国中铁,光大银行,中国交建,交通银行,江苏银行,中国银行,兴业银行
2014-03-31,中国石油,工商银行,农业银行,大秦铁路,交通银行,紫金矿业,伊利股份,招商银行,光大银行,金地集团
2013-07-31,中国重工,ST康美,工商银行,中国石油,贵州茅台,山东黄金,农业银行,伊利股份,宝钢股份,中国联通
2018-12-28,山东黄金,中国银行,交通银行,上汽集团,中国石油,民生银行,北京银行,大秦铁路,农业银行,工商银行
2019-06-28,中国石油,交通银行,工商银行,农业银行,民生银行,中国石化,中国银行,光大银行,浦发银行,中国神华
2012-01-31,工商银行,农业银行,中国石油,长江电力,交通银行,大秦铁路,光大银行,宝钢股份,兴业银行,民生银行
2020-09-30,中国石化,农业银行,工商银行,京沪高铁,中国银行,中国石油,交通银行,民生银行,邮储银行,中国联通
2011-06-30,工商银行,中国石油,中国银行,贵州茅台,交通银行,农业银行,建设银行,中国中铁,招商银行,中国石化
2016-07-29,中国太保,招商银行,兴业银行,工商银行,民生银行,浦发银行,农业银行,中国平安,交通银行,北京银行
2016-10-31,上海电气,民生银行,中国石油,北京银行,兴业银行,工商银行,农业银行,伊利股份,国电电力,ST康美
2015-09-30,工商银行,贵州茅台,招商银行,民生银行,农业银行,中国银行,浦发银行,中国石油,兴业银行,北京银行
2015-07-31,工商银行,中国银行,中信银行,民生银行,农业银行,招商银行,贵州茅台,中国石油,浦发银行,中国人寿
2020-02-28,山东黄金,农业银行,中国银行,复星医药,工商银行,恒瑞医药,中国石化,贵州茅台,交通银行,招商银行
2012-06-29,长江电力,大秦铁路,工商银行,交通银行,农业银行,山东黄金,中国石油,光大银行,中国石化,宝钢股份
2016-12-30,山东黄金,民生银行,工商银行,浦发银行,航发动力,北京银行,中国太保,农业银行,兴业银行,中国银行
2011-08-31,山东黄金,中金黄金,贵州茅台,建设银行,紫金矿业,农业银行,工商银行,中国石油,长江电力,中国石化
2012-11-30,宝钢股份,农业银行,长江电力,工商银行,中国石油,民生银行,光大银行,大秦铁路,贵州茅台,中国重工
2020-07-31,药明康德,农业银行,恒瑞医药,工商银行,中国石化,复星医药,交通银行,中国银行,山东黄金,民生银行
2012-03-30,农业银行,工商银行,中国石油,长江电力,宝钢股份,大秦铁路,贵州茅台,中国石化,交通银行,光大银行
2019-01-31,山东黄金,中国银行,农业银行,大秦铁路,中国石油,交通银行,民生银行,工商银行,上海银行,北京银行
2018-07-31,中国中铁,山东黄金,上汽集团,中国石化,交通银行,中国银行,光大银行,北京银行,兴业银行,大秦铁路
2014-01-30,中国石油,伊利股份,方正证券,中国石化,工商银行,紫金矿业,中金黄金,农业银行,包钢股份,山东黄金
2013-09-30,中国重工,伊利股份,工商银行,大秦铁路,中国石油,ST康美,中国联通,方正证券,中国石化,宝钢股份
2018-02-28,万华化学,ST康美,中国电建,中国核电,浦发银行,上汽集团,东方证券,大秦铁路,交通银行,北京银行
2017-06-30,中国联通,*ST信威(退市),中国神华,农业银行,ST康美,同方股份,方正证券,新华保险,工商银行,大秦铁路
2013-05-31,山东黄金,贵州茅台,中国石油,宝钢股份,紫金矿业,工商银行,中金黄金,伊利股份,中国神华,大秦铁路
2014-08-29,东方明珠,东方明珠(退市),包钢股份,山东黄金,金地集团,大秦铁路,中国石油,贵州茅台,复星医药,伊利股份
2019-05-31,山东黄金,中国石油,交通银行,大秦铁路,工商银行,农业银行,民生银行,北京银行,中国银行,浦发银行
2016-01-29,工商银行,农业银行,浦发银行,兴业银行,贵州茅台,招商银行,中国银行,民生银行,中国平安,中国石油
2020-03-31,中国石化,农业银行,中国银行,工商银行,复星医药,交通银行,民生银行,中国石油,恒瑞医药,建设银行
2016-08-31,北京银行,兴业银行,农业银行,招商银行,中国太保,交通银行,中国石油,民生银行,工商银行,中信银行
2015-11-30,工商银行,民生银行,招商银行,农业银行,浦发银行,中国银行,交通银行,北京银行,华夏银行,光大银行
2012-02-29,农业银行,中国石油,工商银行,长江电力,大秦铁路,中国石化,宝钢股份,光大银行,交通银行,兴业银行
2011-12-30,工商银行,农业银行,长江电力,建设银行,中国石油,贵州茅台,交通银行,大秦铁路,光大银行,宝钢股份
2019-09-30,工商银行,中国中免,农业银行,光大银行,中国银行,洛阳钼业,上海银行,建设银行,交通银行,中国石化
2015-03-31,白云山,三安光电,ST康美,复星医药,中航电子,东方明珠,贵州茅台,国电南瑞,东方明珠(退市),广汇能源
2020-11-30,邮储银行,京沪高铁,农业银行,中国银行,中国石化,中国石油,交通银行,工商银行,民生银行,中国建筑
2012-07-31,农业银行,工商银行,长江电力,交通银行,光大银行,中国石油,中国建筑,大秦铁路,宝钢股份,招商银行
2013-01-31,贵州茅台,宝钢股份,中国石油,大秦铁路,农业银行,工商银行,中国联通,紫金矿业,山东黄金,中煤能源
